date,symbol,open,high,low,close,volume,values
2024-01-31,2330,634.00,637.00,626.00,628.00,47554701.00,29978630024.00
2024-02-01,2330,625.00,628.00,619.00,628.00,46924943.00,29237425981.00
2024-02-02,2330,633.00,635.00,628.00,635.00,27797894.00,17563853315.00
2024-02-05,2330,645.00,647.00,638.00,646.00,48037344.00,30931242935.00
2024-02-15,2330,709.00,709.00,693.00,697.00,132263803.00,92592826951.00
2024-02-16,2330,697.00,699.00,683.00,683.00,48963167.00,33742716965.00
2024-02-19,2330,674.00,682.00,674.00,678.00,36366837.00,24665534552.00
2024-02-20,2330,675.00,688.00,675.00,687.00,31403730.00,21494427969.00
2024-02-21,2330,678.00,683.00,678.00,681.00,31980543.00,21748906940.00
2024-02-22,2330,695.00,695.00,685.00,692.00,34269392.00,23664176835.00
2024-02-23,2330,701.00,703.00,696.00,697.00,48404478.00,33847447281.00
2024-02-26,2330,700.00,700.00,695.00,698.00,29976379.00,20917136411.00
2024-02-27,2330,700.00,701.00,691.00,698.00,35389548.00,24647159479.00
2024-03-01,2330,697.00,697.00,688.00,689.00,24167721.00,16699995060.00
2024-03-04,2330,714.00,725.00,711.00,725.00,97210112.00,69868348694.00
2024-03-05,2330,735.00,738.00,728.00,730.00,73299411.00,53751887376.00
2024-03-06,2330,718.00,738.00,717.00,735.00,52464833.00,38203868985.00
2024-03-07,2330,755.00,769.00,754.00,760.00,80382406.00,61221034146.00
2024-03-08,2330,795.00,796.00,772.00,784.00,98069174.00,77295575097.00
2024-03-11,2330,768.00,778.00,761.00,766.00,73436931.00,56348050108.00
2024-03-12,2330,757.00,771.00,754.00,770.00,63336798.00,48288411581.00
2024-03-13,2330,785.00,785.00,777.00,779.00,43130896.00,33672441212.00
2024-03-14,2330,779.00,785.00,770.00,784.00,48964017.00,38196293503.00
2024-03-15,2330,771.00,777.00,753.00,753.00,80580846.00,61451780435.00
2024-03-18,2330,754.00,765.00,754.00,764.00,46006400.00,34967084535.00
2024-03-19,2330,758.00,765.00,755.00,762.00,32078900.00,24399917859.00
2024-03-20,2330,764.00,769.00,752.00,758.00,48788389.00,37117091830.00
2024-03-21,2330,773.00,784.00,772.00,784.00,47759094.00,37203673872.00
2024-03-22,2330,788.00,789.00,775.00,785.00,32629749.00,25521571701.00
2024-03-25,2330,783.00,788.00,779.00,780.00,21223414.00,16612693369.00
